STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TAVG,TMAX,TMIN,AWND,WT01,WT06,WT02,WT04,WT08
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160518,0.00,0.0,0.0,-9999,68,52,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160519,0.00,0.0,0.0,-9999,73,54,1.3,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160520,0.00,0.0,0.0,-9999,76,53,4.5,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160521,0.04,0.0,0.0,-9999,66,54,3.8,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160522,0.09,0.0,0.0,-9999,70,52,3.6,1,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160523,0.02,0.0,0.0,-9999,78,56,2.5,-9999,-9999,-9999,-9999,1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160524,0.18,0.0,0.0,-9999,73,58,2.0,1,-9999,-9999,-9999,1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160525,0.00,0.0,0.0,-9999,88,61,4.3,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160526,0.00,0.0,0.0,-9999,90,69,3.6,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160527,0.00,0.0,0.0,-9999,87,73,3.8,-9999,-9999,-9999,-9999,1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160528,0.00,0.0,0.0,-9999,92,71,4.5,-9999,-9999,-9999,-9999,1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160529,0.00,0.0,0.0,-9999,87,70,4.9,1,-9999,-9999,-9999,-9999
